Package,CVE-ID,Links
properties-reader 2.0.0,CVE-2020-28471,https://security.snyk.io/vuln/SNYK-JS-PROPERTIESREADER-1048968 
immer 8.0.0,CVE-2020-28477,https://github.com/immerjs/immer/commit/da2bd4fa0edc9335543089fe7d290d6a346c40c5
gsap 3.5.1,CVE-2020-28478,
jointjs 3.2.0,CVE-2020-28480,https://security.snyk.io/vuln/SNYK-JAVA-ORGWEBJARSBOWER-1062037 https://security.snyk.io/vuln/SNYK-JAVA-ORGWEBJARSNPM-1062036 https://security.snyk.io/vuln/SNYK-JS-JOINTJS-1024444
total.js 3.4.6,CVE-2020-28495,https://security.snyk.io/vuln/SNYK-JS-TOTALJS-1046671
merge 2.1.0,CVE-2020-28499,https://security.snyk.io/vuln/SNYK-JS-MERGE-1042987 https://github.com/advisories/GHSA-7wpw-2hjm-89gp
copy-props 2.0.4,CVE-2020-28503,https://security.snyk.io/vuln/SNYK-JS-COPYPROPS-1082870 https://github.com/advisories/GHSA-897m-rjf5-jp39
minimist 1.0.0,CVE-2020-7598,https://security.snyk.io/vuln/SNYK-JS-MINIMIST-559764 https://github.com/advisories/GHSA-vh95-rmgr-6w4m
querymen 2.1.3,CVE-2020-7600,https://security.snyk.io/vuln/SNYK-JS-QUERYMEN-559867 https://github.com/advisories/GHSA-2cf2-2383-h4jv
yargs-parser 6.0.0,CVE-2020-7608,https://security.snyk.io/vuln/SNYK-JS-YARGSPARSER-560381 https://github.com/advisories/GHSA-p9pc-299p-vxgp
eivindfjeldstad-dot 0.0.1,CVE-2020-7639,https://security.snyk.io/vuln/SNYK-JS-EIVINDFJELDSTADDOT-564434 
grunt-util-property 0.0.2,CVE-2020-7641,https://security.snyk.io/vuln/SNYK-JS-GRUNTUTILPROPERTY-565088 
paypal-adaptive 0.4.1,CVE-2020-7643,https://security.snyk.io/vuln/SNYK-JS-PAYPALADAPTIVE-565089 https://github.com/advisories/GHSA-v3r2-3fp4-rp46
casperjs 1.1.4,CVE-2020-7679,https://security.snyk.io/vuln/SNYK-JS-CASPERJS-572803
phpjs 1.3.2,CVE-2020-7700,https://security.snyk.io/vuln/SNYK-JS-PHPJS-598681 https://github.com/advisories/GHSA-m428-jqc4-2p5j
madlib-object-utils 0.1.6,CVE-2020-7701,https://security.snyk.io/vuln/SNYK-JS-MADLIBOBJECTUTILS-598676 https://github.com/advisories/GHSA-jvf5-q4h5-2jmj
nis-utils 0.6.10,CVE-2020-7703,https://security.snyk.io/vuln/SNYK-JS-NISUTILS-598799 https://github.com/advisories/GHSA-gr58-j5wh-m333
linux-cmdline 1.0.0,CVE-2020-7704,https://security.snyk.io/vuln/SNYK-JS-LINUXCMDLINE-598674 
connie-lang 0.1.0,CVE-2020-7706,
property-expr 2.0.2,CVE-2020-7707,https://security.snyk.io/vuln/SNYK-JS-PROPERTYEXPR-598800 https://github.com/advisories/GHSA-6fw4-hr69-g3rv
property-expr 2.0.2,CVE-2020-7707,https://security.snyk.io/vuln/SNYK-JAVA-ORGWEBJARSNPM-598857
path 4.6.8,CVE-2020-7708,https://github.com/Irrelon/irrelon-path/commit/8a126b160c1a854ae511659c111413ad9910ebe3
arr-flatten-unflatten 1.1.4,CVE-2020-7713,https://security.snyk.io/vuln/SNYK-JS-ARRFLATTENUNFLATTEN-598396 https://github.com/advisories/GHSA-w8f3-pvx4-4c3h
confucious 0.0.12,CVE-2020-7714,https://security.snyk.io/vuln/SNYK-JS-CONFUCIOUS-598665 https://github.com/advisories/GHSA-fmrr-mx6j-h3h5
deep-get-set 1.1.0,CVE-2020-7715,https://security.snyk.io/vuln/SNYK-JS-DEEPGETSET-598666 https://github.com/advisories/GHSA-85cp-p426-42f5
deeps 1.4.5,CVE-2020-7716,https://security.snyk.io/vuln/SNYK-JS-DEEPS-598667 https://github.com/advisories/GHSA-rgfv-v3jh-7ffp
dot-notes 3.2.0,CVE-2020-7717,https://security.snyk.io/vuln/SNYK-JS-DOTNOTES-598668 https://github.com/advisories/GHSA-qr4m-jcvc-3382
