Package,CVE-ID,Links,Detection_ObjLupAnsys,Detection_ODGen,Detection_ODGen,Detection_Explode.js,Detection_FesaJS
set-object-value 0.0.5,CVE-2020-28281,https://security.snyk.io/vuln/SNYK-JS-SETOBJECTVALUE-1054931 https://github.com/advisories/GHSA-4jj4-m52p-8rx3,,,,TP,TP
set-value 3.0.0,,,,,,TP,TP
shvl 2.0.1,,https://security.snyk.io/vuln/SNYK-JS-SHVL-1085284 ,,,,TP,TP
simpl-schema 1.10.0,CVE-2020-7742,https://security.snyk.io/vuln/SNYK-JS-SIMPLSCHEMA-1016157 https://github.com/advisories/GHSA-9mx2-prfp-8hqp,timed out,timed out,timed out,TP,TP
smart-extend 1.7.4,,https://hackerone.com/reports/438274,"4s, TFP","4s, TFP","4s, TFP",TP,TP
style-dictionary 2.10.2,,https://security.snyk.io/vuln/SNYK-JS-STYLEDICTIONARY-1080632 ,,,,TP,TP
supermixer 1.0.3,CVE-2020-24939,https://security.snyk.io/vuln/SNYK-JS-SUPERMIXER-607909 https://github.com/advisories/GHSA-7prf-vw4p-qr59,,,,TP,TP
swiper 6.5.0,CVE-2021-23370,https://security.snyk.io/vuln/SNYK-JS-SWIPER-1088062 https://github.com/advisories/GHSA-p3hc-fv2j-rp68,timed out,timed out,timed out,TP,TP
think-config 1.0.0,,https://github.com/advisories/GHSA-6cj2-92m5-7mvp https://security.snyk.io/vuln/SNYK-JS-THINKCONFIG-1536566,,,,TP,TP
think-helper 1.1.0,CVE-2021-32736,https://security.snyk.io/vuln/SNYK-JS-THINKHELPER-1315383 https://github.com/advisories/GHSA-vr5m-3h59-7jcp,,,,TP,TP
tiny-conf 1.1.0,CVE-2020-7724,https://security.snyk.io/vuln/SNYK-JS-TINYCONF-598792 https://github.com/advisories/GHSA-4q97-fh3f-j294,,,,TP,TP
total.js 3.4.6,CVE-2020-28495,https://security.snyk.io/vuln/SNYK-JS-TOTALJS-1046671,,,,FN,FN
typeorm 0.2.24,CVE-2020-8158,https://hackerone.com/reports/869574,,,,TP,TP
undefsafe 2.0.2,CVE-2019-10795,https://security.snyk.io/vuln/SNYK-JS-UNDEFSAFE-548940 ,,,,TP,TP
util 0.3.3,CVE-2020-7765,https://security.snyk.io/vuln/SNYK-JS-FIREBASEUTIL-1038324,,,,TP,TP
utilitify 1.0.2,CVE-2019-10808,https://security.snyk.io/vuln/SNYK-JS-UTILITIFY-559497,,,,TP,TP
utils-extend 1.0.8,,https://hackerone.com/reports/801522,,,,TP,TP
vega-util 1.13.0,CVE-2019-10806,https://security.snyk.io/vuln/SNYK-JS-VEGAUTIL-559223 https://github.com/advisories/GHSA-6hwh-rqwf-cxxr,,,,FN,FN
worksmith 1.0.0,CVE-2020-7725,https://security.snyk.io/vuln/SNYK-JS-WORKSMITH-598798 https://github.com/advisories/GHSA-9829-jj5p-j6hf,,,,TP,TP
x-assign 0.1.4,CVE-2021-23452,https://security.snyk.io/vuln/SNYK-JS-XASSIGN-1759314 https://github.com/advisories/GHSA-4mvj-rq4v-2fxw,,,,TP,TP
y18n 3.2.1,CVE-2020-7774,https://security.snyk.io/vuln/SNYK-JS-Y18N-1021887 https://github.com/advisories/GHSA-c4w7-xm78-47vh,,,,TP,TP
y18n 5.0.4,CVE-2020-7774,https://security.snyk.io/vuln/SNYK-JS-Y18N-1021887,,,,TP,TP
yargs-parser 6.0.0,CVE-2020-7608,https://security.snyk.io/vuln/SNYK-JS-YARGSPARSER-560381 https://github.com/advisories/GHSA-p9pc-299p-vxgp,timed out,timed out,timed out,TP,TP
